Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age_on_2024,Spent,AcceptedCmp
2,4,27938,1,0,13,0,8,2,1,5,1,1,0,4,3,0,36,29,0
4,3,55954,0,1,447,0,28,0,0,43,3,8,2,6,7,0,56,518,0
3,4,75777,0,0,712,26,538,69,13,80,1,3,6,11,1,1,42,1438,2
2,5,66653,1,1,452,18,102,16,18,6,4,4,2,12,3,0,49,612,0
2,4,61823,0,1,523,7,134,37,14,169,4,8,2,10,7,0,72,884,0
4,6,67680,0,1,546,0,48,0,6,6,1,7,3,8,5,0,73,606,0
2,5,70666,0,0,398,40,367,119,122,30,1,7,4,4,4,0,76,1076,0
2,3,25721,1,0,1,3,6,3,6,15,1,1,1,2,7,1,53,34,0
2,5,32474,1,1,10,0,1,0,0,0,1,1,0,2,7,0,57,11,0
0,4,88194,0,1,688,14,309,201,24,38,1,11,10,10,5,1,45,1274,2
2,5,69096,0,1,247,49,159,7,82,109,1,5,2,10,4,0,66,653,0
2,5,74854,1,2,856,59,487,58,29,73,7,2,5,5,5,0,54,1562,0
3,3,66991,0,0,496,36,460,189,60,12,3,4,8,6,3,0,70,1253,0
2,3,65031,0,1,258,107,291,84,37,86,4,10,3,13,7,0,65,863,0
4,3,60631,1,1,565,6,65,0,6,19,5,9,2,8,7,0,49,661,1
2,3,28332,0,0,14,10,13,4,15,9,1,2,1,4,2,0,72,65,0
2,2,40246,1,0,2,1,6,2,1,1,1,1,0,2,6,0,47,13,0
3,3,75251,0,0,721,111,925,97,18,18,1,7,6,5,5,1,52,1890,0
2,4,75825,0,0,1032,105,779,137,105,51,0,5,8,9,4,1,48,2209,1
0,5,26326,0,0,1,0,5,0,3,9,1,0,0,3,3,0,48,18,0
2,5,56046,0,0,577,0,64,0,0,51,2,10,1,8,8,1,59,692,1
2,4,29760,1,0,64,4,68,7,5,17,4,3,1,4,8,0,39,165,0
2,3,26304,1,0,4,1,5,2,0,4,1,1,0,2,7,0,55,16,0
0,3,23559,1,0,25,5,19,7,0,23,3,3,0,3,7,0,51,79,0
3,5,38620,0,0,112,17,44,34,22,89,1,2,5,3,3,0,61,318,0
2,2,81361,0,0,163,23,424,27,65,76,1,3,10,13,1,0,37,778,0
2,3,29440,1,1,17,8,14,10,4,3,2,1,0,4,7,0,64,56,0
3,3,36138,1,1,130,0,16,0,0,5,5,3,1,4,7,0,54,151,1
2,4,50388,0,1,292,6,37,0,3,34,4,6,1,6,7,1,67,372,2
2,3,79593,0,0,350,60,568,110,133,145,1,5,6,7,2,0,51,1366,1
2,5,54178,0,1,135,9,39,4,0,7,1,2,2,5,2,0,57,194,0
3,4,42394,1,0,15,2,10,0,1,4,1,1,0,3,7,0,52,32,0
4,3,23626,1,0,27,2,14,0,0,0,3,3,1,3,5,0,54,43,0
2,3,30096,1,0,5,3,11,12,5,9,1,2,0,3,6,0,41,45,0
2,6,47916,0,1,505,0,26,0,0,75,5,7,4,6,6,0,64,606,1
2,2,51813,1,1,51,2,7,0,1,2,2,2,0,3,7,0,52,63,0
0,3,78497,0,0,207,26,447,75,0,223,1,5,7,12,2,0,73,978,1
4,3,50150,0,0,135,46,92,65,61,11,2,5,2,7,5,0,41,410,0
0,4,47823,0,1,53,1,5,2,1,10,2,2,0,3,8,0,64,72,0
4,4,34554,0,1,41,1,6,2,0,5,2,2,0,3,6,0,65,55,0
2,5,85693,0,1,386,172,183,185,132,111,2,9,5,11,5,0,45,1169,0
4,3,65846,0,0,562,81,276,80,40,81,1,6,3,6,4,0,79,1120,0
2,3,87195,0,0,217,76,690,50,26,38,1,3,11,5,1,1,65,1097,0
1,5,24594,1,0,1,3,6,10,0,9,1,1,0,3,5,0,45,29,0
2,3,49096,1,1,144,1,32,2,1,7,4,4,1,4,7,0,60,187,0
2,3,52413,0,2,295,106,271,75,98,65,4,6,4,12,6,0,55,910,0
2,4,38557,1,0,76,3,31,4,4,27,2,3,1,3,7,0,46,145,0
3,3,89058,0,0,454,194,106,31,22,43,1,5,4,4,2,0,64,850,0
2,5,77298,0,1,425,115,292,23,35,79,1,6,6,11,3,0,45,969,0
4,4,68126,0,0,1332,17,311,23,51,86,1,7,4,5,9,1,33,1820,1
3,5,57288,0,1,527,0,21,0,0,60,3,8,1,8,6,0,61,608,1
2,4,86037,0,0,490,44,125,29,20,22,1,6,7,11,3,1,33,730,2
4,3,43974,1,0,378,0,101,0,0,72,5,6,4,6,7,0,44,551,0
2,4,50785,1,1,64,1,21,0,1,27,2,2,1,3,6,0,62,114,0
2,3,90765,0,0,547,99,812,151,82,33,0,4,6,5,1,0,54,1724,2
0,3,36550,1,0,47,90,94,123,103,120,5,9,1,5,9,0,46,577,0
0,5,30753,1,1,12,5,25,0,9,30,2,1,1,3,5,0,57,81,0
2,5,21918,1,0,1,6,7,11,5,3,2,2,0,3,6,0,55,33,0
3,5,56129,0,1,320,48,133,39,72,48,4,6,2,10,4,0,71,660,0
3,4,32557,1,0,34,3,29,0,4,10,3,2,1,3,5,1,57,80,0
3,3,19510,2,0,9,0,7,3,4,7,2,1,0,3,7,0,39,30,0
2,2,30992,1,0,17,0,14,7,3,2,1,1,0,3,7,0,48,43,0
2,4,101970,0,0,722,27,102,44,72,168,0,6,8,13,2,1,41,1135,3
0,5,71488,0,0,162,33,124,40,28,172,2,3,4,7,1,0,59,559,0
2,4,79607,0,0,450,133,951,173,0,216,1,3,6,6,1,1,40,1923,0
3,3,54348,1,1,70,0,16,0,0,4,2,2,0,4,6,0,71,90,0
4,5,77376,1,1,492,19,110,16,12,12,4,6,3,10,4,0,68,661,0
2,3,62998,0,1,120,58,73,65,89,58,5,5,4,5,5,0,72,463,0
3,1,61331,1,1,534,5,47,0,5,41,5,11,1,6,8,0,66,632,0
2,3,73448,0,0,236,106,189,23,41,130,1,7,2,9,4,0,55,725,0
4,3,41551,1,1,220,0,33,3,0,23,5,5,1,5,8,0,60,279,0
4,5,62981,0,0,796,14,590,38,44,0,1,4,5,13,3,0,57,1482,1
1,2,9548,1,0,0,1,3,10,6,9,2,1,0,3,8,0,48,29,0
4,3,33762,2,1,53,1,34,2,0,16,3,2,2,2,8,0,65,106,0
4,1,35860,1,1,15,0,8,4,2,20,2,1,1,2,5,1,51,49,1
4,2,36921,1,1,17,1,12,3,1,4,2,2,0,3,7,0,59,38,0
3,4,92859,0,0,962,61,921,52,61,20,1,5,4,12,2,0,32,2077,0
3,5,65104,0,1,738,0,232,13,20,50,2,3,5,7,7,1,48,1053,0
2,3,86111,0,0,399,28,756,36,40,126,1,5,7,10,2,0,62,1385,0
4,4,68352,0,1,614,16,132,43,33,33,3,8,5,9,6,0,50,871,0
2,5,41883,1,0,32,34,41,73,16,116,3,4,2,3,7,0,36,312,0
2,3,59809,0,2,598,16,141,32,41,49,3,3,3,6,8,0,48,877,0
2,3,23957,1,0,2,1,18,20,11,16,1,2,0,3,6,1,49,68,0
2,5,38547,1,0,6,1,10,0,1,4,1,1,0,2,8,0,43,22,0
0,3,35688,2,1,73,3,90,12,1,32,7,4,1,4,8,0,51,211,0
3,3,49605,0,0,42,16,29,12,20,8,1,2,1,4,3,0,58,127,0
3,3,59354,0,2,295,21,78,39,13,13,1,4,4,7,3,0,71,459,0
2,3,65747,0,1,346,17,48,23,13,13,4,8,1,6,6,0,55,460,1
0,5,46344,0,1,233,20,57,8,20,91,4,7,1,5,7,0,52,429,0
2,1,34176,1,0,5,7,24,19,14,20,4,3,0,4,6,0,36,89,0
4,5,61010,0,1,888,0,57,0,0,76,2,8,5,11,5,0,72,1021,0
2,5,69372,0,0,997,26,269,34,13,42,1,10,4,6,4,1,75,1381,2
2,4,49967,0,1,212,6,69,4,12,3,3,6,1,5,7,0,66,306,0
2,4,60199,1,2,8,1,7,2,0,0,1,0,0,3,4,0,46,18,0
2,5,55375,0,1,42,11,57,10,28,14,1,1,1,6,2,0,47,162,0
2,4,80317,0,0,536,11,387,149,91,57,1,3,4,10,1,0,69,1231,0
3,4,30523,2,1,5,0,3,0,0,5,1,1,0,2,7,0,66,13,0
4,3,70356,0,0,1349,16,249,43,16,33,2,10,6,9,6,0,79,1706,0
2,3,23228,1,0,53,3,49,7,4,5,4,3,0,4,8,0,40,121,0
4,2,74165,0,0,1001,12,240,16,12,12,1,5,4,10,2,0,49,1293,0
2,5,43482,2,1,18,1,32,6,3,28,3,2,0,4,6,0,58,88,0
2,2,62551,0,0,125,16,98,134,21,27,1,6,7,4,3,0,71,421,1
2,2,52332,0,0,212,5,33,7,0,2,1,3,2,6,4,0,65,259,1
2,4,66951,0,0,277,162,305,173,76,124,1,3,4,7,1,0,36,1117,0
2,5,26091,1,1,15,10,19,8,17,20,3,2,1,3,5,0,67,89,0
2,5,33456,1,1,7,3,10,8,1,7,2,1,0,3,7,0,59,36,0
2,3,28718,1,0,12,4,6,11,8,16,2,2,0,3,8,0,42,57,0
2,3,50447,2,0,85,7,24,2,3,27,1,3,1,3,6,0,54,148,0
4,5,53537,1,1,81,0,6,0,0,6,2,2,1,3,5,0,65,93,0
2,4,52074,0,1,59,0,12,0,0,48,1,2,2,2,4,0,57,119,1
4,3,80427,0,1,1149,71,449,69,71,26,1,11,8,8,5,0,49,1835,0
4,3,83837,0,0,847,66,119,86,89,111,1,9,10,5,4,1,76,1318,2
4,3,38853,1,1,29,0,14,0,0,2,2,2,0,3,7,0,54,45,0
2,5,38285,2,1,2,0,5,2,0,1,1,0,0,3,2,0,65,10,0
0,3,78497,0,0,207,26,447,75,0,223,1,5,7,12,2,0,73,978,1
4,3,51650,0,1,152,3,22,2,5,7,1,4,1,4,5,0,48,191,0
0,3,16248,1,0,12,11,10,3,12,9,3,2,1,3,6,0,36,57,0
3,3,66835,0,0,620,26,195,34,17,141,1,6,4,13,2,0,78,1033,0
3,3,30477,1,0,47,1,6,0,0,12,1,1,1,3,6,0,40,66,0
1,3,28249,0,0,1,9,7,2,14,10,1,2,0,3,6,0,63,43,0
2,3,25271,1,0,10,1,18,10,4,7,1,1,1,2,9,0,41,50,0
4,4,32303,0,1,35,0,2,0,0,2,2,1,0,4,5,0,54,39,0
2,3,61286,0,1,356,0,107,19,9,117,2,7,1,8,5,0,58,608,0
2,3,74068,0,0,783,30,537,140,76,15,1,4,10,9,2,0,48,1581,0
4,3,45759,1,1,42,1,18,3,0,4,2,2,0,3,7,0,60,68,0
1,5,24882,1,0,1,4,10,29,0,36,1,1,1,2,6,0,46,80,1
4,5,66973,0,0,466,22,432,147,113,102,1,8,7,12,3,0,35,1282,0
2,3,38872,1,0,23,3,21,3,19,22,2,3,0,3,8,0,36,91,0
2,3,51148,1,1,235,6,45,8,9,12,4,5,1,6,6,0,51,315,0
2,3,31353,1,1,10,0,10,3,1,7,2,1,1,2,8,0,47,31,0
3,3,69661,0,0,656,16,106,32,16,8,1,7,3,12,3,0,44,834,0
2,3,80067,0,0,519,17,813,27,173,51,1,4,6,6,2,0,70,1600,1
2,3,86718,0,0,344,189,482,50,33,172,1,5,6,5,2,0,70,1270,0
4,4,46854,1,1,96,1,79,7,1,79,6,5,1,3,8,1,51,263,1
2,2,69142,0,1,448,4,34,6,4,39,3,8,1,7,5,0,72,535,1
2,4,75922,0,0,265,138,553,224,23,92,1,4,4,9,1,0,56,1295,0
2,2,63693,0,1,587,43,337,42,87,54,3,11,6,9,6,0,46,1150,0
4,5,102160,0,0,763,29,138,76,176,58,0,7,9,10,4,1,47,1240,3
4,4,40637,1,1,22,0,13,0,0,3,2,1,0,3,7,0,59,38,0
3,4,18890,0,0,6,4,1,7,2,15,1,0,1,2,6,1,40,35,1
2,5,29604,1,0,7,6,13,7,6,14,1,1,0,3,9,0,36,53,1
3,2,48721,1,1,81,18,113,47,13,21,6,4,2,5,6,0,61,293,0
2,3,44794,0,1,54,0,7,0,0,4,1,2,0,3,6,0,58,65,0
2,2,64497,0,1,1170,48,320,42,32,192,5,11,4,9,8,1,70,1804,1
2,5,46097,0,1,72,24,68,65,4,8,5,3,1,6,4,0,68,241,0
2,5,77972,0,0,613,22,319,33,102,12,1,4,6,9,1,0,70,1101,0
4,3,44377,1,1,224,0,30,0,0,10,8,5,1,5,8,0,56,264,0
3,5,46014,1,1,410,0,59,19,9,44,10,7,1,8,7,0,50,541,0
2,3,70951,0,0,239,10,554,254,87,54,1,3,4,9,1,0,39,1198,0
2,3,41443,1,0,171,7,171,25,19,89,6,8,1,5,8,0,47,482,0
0,4,52195,2,1,12,0,4,0,0,1,1,1,0,2,8,0,46,17,0
3,3,83790,0,0,1076,16,417,42,48,16,1,8,10,6,3,0,76,1615,2
3,6,44551,0,1,182,4,33,0,0,66,2,4,1,5,7,0,70,285,0
2,5,69508,1,0,824,32,162,42,32,43,2,11,4,11,6,0,44,1135,0
0,5,45204,1,0,30,11,25,29,1,18,1,1,1,4,3,0,36,114,0
2,3,72460,0,0,377,10,540,80,30,10,1,3,5,7,1,0,55,1047,0
4,5,77622,0,2,520,7,154,19,0,14,2,6,3,11,3,0,54,714,0
4,3,30732,1,0,155,1,25,0,1,3,4,4,1,4,8,0,44,185,0
2,2,63887,0,1,897,23,207,15,11,92,5,9,6,12,6,0,62,1245,0
2,5,42011,1,0,131,0,16,2,1,39,4,3,1,4,8,0,46,189,0
2,5,51369,0,1,297,7,79,0,11,182,2,8,2,4,8,0,48,576,0
2,2,51537,0,1,787,20,204,0,0,92,3,2,2,11,8,0,72,1103,0
4,3,79930,0,0,792,86,740,67,51,17,1,3,5,8,2,0,52,1753,0
4,5,34320,1,0,4,1,9,3,0,0,1,1,0,2,8,0,38,17,0
2,4,37070,1,1,231,7,137,4,15,39,9,5,1,8,7,1,58,433,0
0,2,81975,0,1,983,76,184,180,138,27,1,6,3,4,7,0,62,1588,1
2,5,38590,1,0,3,1,8,4,3,3,1,1,0,2,8,0,53,22,0
2,4,15033,0,0,0,4,5,6,0,4,1,1,0,3,3,0,73,19,0
4,3,62745,0,1,562,21,464,28,10,32,3,7,8,11,5,0,59,1117,0
0,3,22212,1,0,5,9,20,6,8,21,2,2,0,4,6,0,49,69,0
3,5,23661,1,0,18,0,4,0,0,1,1,1,0,3,7,0,42,23,0
4,4,79761,0,1,415,5,124,15,35,11,1,5,2,11,3,0,66,605,0
2,4,7500,1,0,5,3,10,12,7,20,4,3,1,3,7,0,51,57,0
2,6,73455,0,0,901,61,757,186,163,20,1,6,5,10,3,0,56,2088,1
2,5,64961,0,1,382,114,276,75,124,38,2,6,4,4,3,0,66,1009,0
2,4,22804,1,0,14,1,7,2,1,1,1,2,0,2,9,0,53,26,0
2,3,73687,0,0,559,153,503,218,13,181,1,3,9,9,2,1,34,1627,1
2,3,61074,0,1,789,0,133,0,28,152,7,11,5,8,7,0,66,1102,0
4,3,31686,1,1,11,0,5,0,0,1,2,1,0,3,6,0,60,17,0
2,3,80134,1,0,1218,16,272,104,0,80,2,5,3,6,6,1,52,1690,3
2,3,75027,0,1,925,64,179,133,12,77,2,9,4,6,5,0,71,1390,0
4,3,67546,0,0,864,134,768,150,38,172,1,4,10,5,3,0,36,2126,0
3,5,65176,0,1,960,28,183,220,70,70,4,9,6,6,6,0,55,1531,0
3,4,31160,1,0,16,3,25,6,1,13,2,2,0,3,8,0,49,64,0
2,4,29938,1,0,3,3,7,0,2,11,2,1,0,3,6,0,39,26,0
2,2,102692,0,0,168,148,444,32,172,148,1,6,9,13,2,1,50,1112,4
0,5,26490,0,0,45,47,52,21,20,25,2,3,1,5,6,0,66,210,0
2,5,75702,1,1,650,28,353,45,42,30,5,4,6,11,8,0,57,1148,0
4,4,30899,1,0,24,0,8,0,0,1,2,1,0,3,6,0,50,33,0
4,5,63342,0,1,918,21,118,13,10,21,3,8,3,5,6,0,63,1101,1
2,4,45989,0,1,138,33,87,28,24,12,4,3,2,7,3,0,60,322,0
2,4,18701,1,1,12,4,2,10,6,10,4,2,0,4,5,0,60,44,0
4,4,40737,2,1,11,0,4,0,0,2,1,1,0,2,8,0,67,17,0
2,2,15287,1,0,1,2,8,4,3,13,2,1,1,2,7,1,45,31,1
4,2,69674,0,2,554,41,215,11,0,24,3,10,2,10,5,0,56,845,0
3,3,44159,1,0,167,2,62,24,13,7,4,4,1,6,5,0,54,275,0
4,3,37717,1,0,9,0,6,4,1,5,1,1,0,2,9,0,46,25,0
3,5,43776,1,1,177,2,71,3,2,20,6,5,2,4,8,1,72,275,0
3,3,38179,1,1,38,4,22,4,2,20,4,3,1,3,7,0,58,90,0
2,3,80124,0,0,483,84,398,205,84,241,1,3,7,8,1,0,61,1495,1
4,3,38097,1,1,77,2,35,0,1,69,4,3,2,2,7,1,54,184,1
2,3,72940,0,0,182,74,298,162,149,116,1,3,3,6,1,0,54,981,0
2,5,22070,1,0,10,7,19,8,2,21,2,2,2,2,6,0,54,67,0
2,4,69267,0,0,778,44,499,95,73,146,2,3,4,5,7,1,71,1635,0
3,4,31788,1,0,16,7,23,0,8,6,3,3,0,4,5,0,41,60,0
4,5,61905,0,1,167,0,43,6,2,13,2,4,2,4,5,0,49,231,0
2,3,29315,1,1,13,2,14,8,7,4,4,2,0,4,6,0,64,48,0
2,2,33378,1,1,33,6,40,3,7,10,3,2,0,4,7,0,61,99,0
4,5,66313,0,1,625,7,99,10,22,7,2,6,3,12,4,0,61,770,0
2,4,60714,0,0,216,162,224,101,92,162,2,7,4,10,5,1,68,957,0
3,5,77882,0,0,68,129,396,188,22,15,1,3,3,5,1,0,43,818,0
4,4,69867,0,0,196,0,512,33,130,54,1,3,5,8,1,1,38,925,1
3,2,63841,0,1,635,15,100,20,7,131,1,9,3,9,6,0,56,908,0
1,3,24480,1,0,4,19,9,28,25,17,3,3,0,4,7,0,43,102,0
2,5,51369,0,1,297,7,79,0,11,182,2,8,2,4,8,0,48,576,0
2,5,37760,0,0,84,5,38,150,12,28,2,4,1,6,7,0,78,317,0
4,5,65640,0,1,204,7,149,20,15,66,1,5,1,8,2,0,50,461,0
3,3,44319,1,1,26,0,8,0,0,3,2,2,0,3,5,0,49,37,0
2,3,30631,1,0,15,6,20,4,5,20,1,3,1,2,7,0,50,70,0
2,5,75278,0,0,304,98,230,150,74,74,1,6,3,13,3,0,72,930,0
3,5,50898,1,1,285,28,242,55,114,135,13,6,2,12,5,0,68,859,0
2,6,79946,0,0,395,183,565,166,141,28,1,5,11,5,3,0,58,1478,0
3,2,35416,0,0,248,3,81,4,3,51,3,7,1,5,8,0,75,390,0
0,5,32414,0,0,20,6,5,0,9,12,1,1,0,3,7,0,40,52,1
2,5,38361,1,0,39,0,56,20,8,14,3,3,1,3,7,0,55,137,0
2,3,82497,0,0,777,129,573,216,21,203,1,2,7,9,4,0,44,1919,1
2,5,16626,2,0,8,3,22,21,1,13,3,3,0,3,9,0,53,68,0
2,5,29672,1,1,9,1,3,0,4,8,1,0,0,3,6,0,59,25,0
3,5,55951,0,1,1241,0,80,0,13,40,3,3,6,11,8,0,72,1374,2
0,2,35388,1,0,6,4,7,4,3,8,1,1,0,3,7,0,36,32,0
3,5,42386,1,0,65,4,16,0,4,11,1,3,0,3,8,0,38,100,0
2,4,68627,0,0,395,15,263,60,54,38,1,2,3,6,1,0,42,825,0
4,2,57912,0,1,801,0,80,0,0,35,5,8,3,12,5,0,59,916,1
2,2,35246,1,1,36,0,12,2,2,10,4,3,1,3,5,0,66,62,0
0,5,58821,0,1,513,14,154,19,0,28,1,9,2,9,6,0,68,728,0
4,3,46377,1,0,37,0,46,4,3,0,1,2,1,3,4,0,46,90,0
2,4,39747,1,0,80,15,93,20,13,52,3,5,1,4,8,0,36,273,0
2,5,23976,1,0,14,1,21,2,3,25,3,3,1,3,7,0,40,66,0
3,3,80950,0,0,525,147,112,219,147,63,1,6,7,9,2,0,63,1213,1
2,6,27038,0,0,1,26,25,17,23,15,1,3,0,3,9,1,58,107,0
2,4,77457,0,0,675,11,400,15,45,11,1,2,5,10,1,0,77,1157,1
3,3,64100,0,1,509,0,27,0,0,10,1,8,3,6,7,0,60,546,1
3,5,42670,0,0,154,2,46,20,4,15,1,4,2,4,4,0,32,241,0
2,2,12571,1,0,3,5,14,2,12,17,4,3,1,3,6,0,48,53,0
2,3,22574,2,1,25,0,8,2,0,2,2,2,0,3,7,0,57,37,0
3,4,70893,0,0,768,44,561,77,44,14,1,6,6,10,3,0,48,1508,0
2,3,54198,1,1,185,0,28,3,2,17,6,3,1,6,4,0,58,235,0
3,5,28839,1,1,24,0,7,0,0,1,2,2,0,3,5,0,68,32,0
2,3,40321,1,1,44,4,21,6,0,27,2,3,0,3,7,0,52,102,0
2,4,66503,1,0,91,64,128,65,3,50,2,4,3,6,3,0,39,401,0
2,3,30833,1,1,11,0,7,3,1,6,2,1,0,3,5,0,73,28,0
2,3,64795,0,1,412,5,119,38,29,77,3,3,3,12,2,0,53,680,0
2,3,34421,1,0,3,3,7,6,2,9,1,1,0,2,7,0,50,30,0
4,2,47025,1,1,16,0,3,0,0,1,1,1,0,2,7,0,59,20,0
4,2,64325,0,1,731,60,353,78,12,73,5,10,3,5,7,0,63,1307,0
2,4,40464,0,1,424,17,118,7,23,41,6,8,2,8,8,0,71,630,0
2,3,62187,0,0,792,0,275,45,45,126,1,4,8,5,3,0,67,1283,0
4,2,14849,1,0,21,2,28,3,2,9,3,2,0,4,8,0,48,65,0
2,3,27255,1,0,22,1,11,0,1,2,1,1,0,3,7,0,40,37,0
4,3,54432,2,1,33,0,5,0,0,0,1,1,0,3,4,0,74,38,0
4,4,29999,1,0,68,7,59,10,5,11,4,3,1,4,8,0,38,160,0
2,4,24072,1,0,9,1,6,3,0,4,1,1,0,2,8,0,41,23,0
4,4,33996,0,0,40,2,15,8,0,6,1,1,1,3,4,0,35,71,0
4,3,66334,0,1,909,11,218,0,0,23,2,9,3,5,5,1,68,1161,0
3,3,35178,1,0,23,1,13,2,2,18,1,1,1,2,7,1,53,59,1
2,5,22010,1,0,11,2,9,3,0,8,2,2,0,3,8,0,41,33,0
2,2,62204,0,2,317,46,247,151,46,139,1,4,5,12,3,0,64,946,0
2,2,75693,0,0,797,153,293,72,97,30,1,11,4,6,4,1,56,1442,3
2,3,30675,1,0,10,2,16,11,2,21,1,1,0,3,8,0,52,62,0
2,5,83003,0,0,856,61,570,40,25,122,1,7,6,8,3,1,59,1674,1
2,4,68655,0,0,456,19,832,75,118,38,1,4,5,11,3,0,36,1538,0
2,2,41411,0,0,37,32,38,11,3,18,1,2,1,4,6,0,38,139,0
4,3,55212,0,1,1103,0,45,0,0,34,3,4,2,11,8,0,55,1182,2
4,5,59292,0,1,378,14,68,19,14,14,2,3,5,8,3,0,74,507,0
1,5,27190,1,0,1,6,7,0,1,3,1,1,0,2,8,1,51,18,1
2,2,82623,0,0,204,34,204,172,153,173,1,2,9,4,1,0,72,940,0
2,3,44300,1,1,30,0,9,0,0,3,2,1,0,3,6,0,59,42,0
2,2,84835,0,0,189,104,379,111,189,218,1,4,4,6,1,1,54,1190,0
